Category String,Code,Description,Usage,Specifications,Category String2,Category Name - 1,Category Name - 2,Category Name - 3,Category Name - 4,Category Name - 5,Category Name - 6,Category Name - 7,Category Name - 8,Category Name - 9,Featured Image,Product Image File - 1,Product Image URL - 1,Product Image File - 2,Product Image URL - 2,Product Image File - 3,Product Image URL - 3,Product Image File - 4,Product Image URL - 4,Product Image File - 5,Product Image URL - 5,Product Image File - 6,Product Image URL - 6,Product Image File - 7,Product Image URL - 7,Product Image File - 8,Product Image URL - 8,Product Image File - 9,Product Image URL - 9,Product Image File - 10,Product Image URL - 10,Title
Anaconda,D-CT100BK, <p>Super strong black plastic for permanent fixing. Pack of 100.</p>,,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/y/950/D-CT190BK-product__20476.jpg,D-CT190BK-product__20476.jpg,http://www.sjdg.com.au/product_images/y/950/D-CT190BK-product__20476.jpg,,,,,,,,,,,,,,,,,,,Cable Ties 100mm Black Pk 100
Anaconda,D-GFR, <p>Clear PVC 38mm high x 20mm wide. Clips into data strip or display stands to hold POS material up to 3mm thick.</p>,,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/x/219/D-GFR-usage1__37049.jpg,D-GFR-usage2__88781.jpg,http://www.sjdg.com.au/product_images/u/472/D-GFR-usage2__88781.jpg,D-GFR-usage1__37049.jpg,http://www.sjdg.com.au/product_images/x/219/D-GFR-usage1__37049.jpg,,,,,,,,,,,,,,,,,Gripper Flag Rigid
Anaconda,D-HCBK," <p><span id=""DataGrid1__ctl3_ProductShort"" class=""ProductSizeDescription"">Black Plastic Spring Hanger Clip, suitable for up to 10mm material with hanging hook 10mm diameter</span></p>",,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/l/049/D-HCBK-product__53217.jpg,D-HCBK-productgroup__10190.jpg,http://www.sjdg.com.au/product_images/y/642/D-HCBK-productgroup__10190.jpg,D-HCBK-product__53217.jpg,http://www.sjdg.com.au/product_images/l/049/D-HCBK-product__53217.jpg,,,,,,,,,,,,,,,,,Hanger Clip Black
Anaconda,D-HSCC12BK, <p>Black plastic 750mm long with 12 multi clip stations for perforated or non perforated products. 62 x 30mm header plate.</p>,,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/k/385/D-HSCCBK-line__06843.jpg,D-HSCC12BK-product__32475.jpg,http://www.sjdg.com.au/product_images/k/303/D-HSCC12BK-product__32475.jpg,D-HSCCBK-usage2__07762.jpg,http://www.sjdg.com.au/product_images/j/888/D-HSCCBK-usage2__07762.jpg,D-HSCCBK-line__06843.jpg,http://www.sjdg.com.au/product_images/k/385/D-HSCCBK-line__06843.jpg,,,,,,,,,,,,,,,12 Station C/Strip with H/P BK
Anaconda,D-HT400, <p>Self Adhesive backed Hang Sell Tab Fastener. Holds up to 400grams.&nbsp; Packed per 1000.</p>,,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/s/860/D-HT400.line__21793.jpg,D-HT400-product__49560.jpg,http://www.sjdg.com.au/product_images/q/267/D-HT400-product__49560.jpg,D-HTH-group__61207.jpg,http://www.sjdg.com.au/product_images/f/693/D-HTH-group__61207.jpg,D-HT400.line__21793.jpg,http://www.sjdg.com.au/product_images/s/860/D-HT400.line__21793.jpg,,,,,,,,,,,,,,,Hang tab 400gm Pack 1000
Anaconda,D-HT550," <p><span id=""DataGrid1__ctl2_ProductSize"" class=""ProductSizeDescription"">50mm (W) x 50mm (H)&nbsp;</span>Self Adhesive backed Hang Sell Tab Fastener. Holds up to 550grams. Packed per 1000.&nbsp;</p>",,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/z/107/D-HT550-product__95270.jpg,D-HT550-product__95270.jpg,http://www.sjdg.com.au/product_images/z/107/D-HT550-product__95270.jpg,,,,,,,,,,,,,,,,,,,Hang Tab 550gm Pack 1000
Anaconda,D-MSH110, <p>Magnetic Sign Holder 110mm</p>,,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/w/088/Z-CSMSH110__65082.jpg,Z-CSMSH110__65082.jpg,http://www.sjdg.com.au/product_images/w/088/Z-CSMSH110__65082.jpg,,,,,,,,,,,,,,,,,,,Magnetic Sign holder 110mm
Anaconda,D-MSH110, <p>110mm long clear plastic with 4 strong magnets. Holds material 1mm to 2mm thick.</p>,,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/w/408/Z-CSMSH110-product__65529.jpg,Z-CSMSH110-group__80938.jpg,http://www.sjdg.com.au/product_images/w/387/Z-CSMSH110-group__80938.jpg,Z-CSMSH110-product__65529.jpg,http://www.sjdg.com.au/product_images/w/408/Z-CSMSH110-product__65529.jpg,,,,,,,,,,,,,,,,,Magnetic Sign holder 110mm
Anaconda,D-POP1, <p>Sprung base to fit 15mm to 30mm diameter rod. Sprung top to hold POS material to 10mm thick.</p>,,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/c/063/D-POP1-product1__41453.jpg,D-POP1-usage1__48384.jpg,http://www.sjdg.com.au/product_images/e/235/D-POP1-usage1__48384.jpg,D-POP1-product1__41453.jpg,http://www.sjdg.com.au/product_images/c/063/D-POP1-product1__41453.jpg,,,,,,,,,,,,,,,,,Pop Clip Large Spring Clip
Anaconda,D-PPA6," <p><span id=""DataGrid1__ctl5_ProductShort"" class=""ProductSizeDescription"">Flexible .15mm clear PVC Pockets. Has hanging Holes for use with range of display accessories or clips into shelving.</span></p>",,,Anaconda/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/u/221/D-PPA-product__92334.jpg,D-PPA-product__93282.jpg,http://www.sjdg.com.au/product_images/v/518/D-PPA-product__93282.jpg,D-PPA-product__92334.jpg,http://www.sjdg.com.au/product_images/u/221/D-PPA-product__92334.jpg,,,,,,,,,,,,,,,,,PVC Pocket A6
