Category String,Code,Description,Usage,Specifications,Category String2,Category Name - 1,Category Name - 2,Category Name - 3,Category Name - 4,Category Name - 5,Category Name - 6,Category Name - 7,Category Name - 8,Category Name - 9,Featured Image,Product Image File - 1,Product Image URL - 1,Product Image File - 2,Product Image URL - 2,Product Image File - 3,Product Image URL - 3,Product Image File - 4,Product Image URL - 4,Product Image File - 5,Product Image URL - 5,Product Image File - 6,Product Image URL - 6,Product Image File - 7,Product Image URL - 7,Product Image File - 8,Product Image URL - 8,Product Image File - 9,Product Image URL - 9,Product Image File - 10,Product Image URL - 10
Spotlight,D-MSH110, <p>Magnetic Sign Holder 110mm</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/d/327/Z-CSMSH110__03172.jpg,Z-CSMSH110__03172.jpg,http://www.sjdg.com.au/product_images/d/327/Z-CSMSH110__03172.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-POP1, <p>Sprung base to fit 15mm to 30mm diameter rod. Sprung top to hold POS material to 10mm thick.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/n/607/D-POP1-product1__39875.jpg,D-POP1-product1__39875.jpg,http://www.sjdg.com.au/product_images/n/607/D-POP1-product1__39875.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-PPA4," <p>Clear flexible .18mm thick PVC pockets to hold POS material. 2mm x 5mm diameter hanging holes.</p> <p>Available in A4, A5, A6.</p>",,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/o/905/D-PPA-product__56802.jpg,D-PPA-product__49571.jpg,http://www.sjdg.com.au/product_images/n/587/D-PPA-product__49571.jpg,D-PPA-product__56802.jpg,http://www.sjdg.com.au/product_images/o/905/D-PPA-product__56802.jpg,,,,,,,,,,,,,,,,
Spotlight,D-PPA5," <p>Clear flexible .18mm thick PVC pockets to hold POS material. 2mm x 5mm diameter hanging holes.</p> <p>Available in A4, A5, A6.</p>",,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/o/905/D-PPA-product__56802.jpg,D-PPA-product__49571.jpg,http://www.sjdg.com.au/product_images/n/587/D-PPA-product__49571.jpg,D-PPA-product__56802.jpg,http://www.sjdg.com.au/product_images/o/905/D-PPA-product__56802.jpg,,,,,,,,,,,,,,,,
Spotlight,D-PPA6," <p>Clear flexible .18mm thick PVC pockets to hold POS material. 2mm x 5mm diameter hanging holes.</p> <p>Available in A4, A5, A6.</p>",,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/o/905/D-PPA-product__56802.jpg,D-PPA-product__49571.jpg,http://www.sjdg.com.au/product_images/n/587/D-PPA-product__49571.jpg,D-PPA-product__56802.jpg,http://www.sjdg.com.au/product_images/o/905/D-PPA-product__56802.jpg,,,,,,,,,,,,,,,,
Spotlight,D-SC40H, <p>40mm clear PVC suction cup with metal hanging hook.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/s/571/D-SC40H-product__18986.jpg,D-SC40H-productgroup__29737.jpg,http://www.sjdg.com.au/product_images/a/418/D-SC40H-productgroup__29737.jpg,D-SC40H-product__18986.jpg,http://www.sjdg.com.au/product_images/s/571/D-SC40H-product__18986.jpg,,,,,,,,,,,,,,,,
Spotlight,D-SH38, <p>Chrome steel 4.3mm diameter.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/m/288/D-SH38-product__01251.jpg,D-SH38-productgroup__52011.jpg,http://www.sjdg.com.au/product_images/m/136/D-SH38-productgroup__52011.jpg,D-SH38-product__01251.jpg,http://www.sjdg.com.au/product_images/m/288/D-SH38-product__01251.jpg,,,,,,,,,,,,,,,,
Spotlight,D-STCP100," <p class=""p1"">25mm long clear PVC. Clips into datastrip to hold shelf talkers and POS material.</p> <p class=""p1"">Pack 100.</p>",,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/a/327/D-STC-product__84750.jpg,D-STC.line__17189.jpg,http://www.sjdg.com.au/product_images/r/643/D-STC.line__17189.jpg,D-STC-product__84750.jpg,http://www.sjdg.com.au/product_images/a/327/D-STC-product__84750.jpg,,,,,,,,,,,,,,,,
Spotlight,D-SWF,<p>Spotlight Starburst Shelf Wobbler</p>,,,Spotlight/Retail Equipment,Retail Equipment,,,,,,,,,http://www.sjdg.com.au/product_images/v/901/D-SWF-product__41447.jpg,D-SWF-product__41447.jpg,http://www.sjdg.com.au/product_images/v/901/D-SWF-product__41447.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-TRM25, <p>Chrome plated steel with hinge for secure display of hanging POS material.</p> <p>Pack of 20</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/h/204/D-TRM19-group__08834.jpg,D-TRM19-group__08834.jpg,http://www.sjdg.com.au/product_images/h/204/D-TRM19-group__08834.jpg,,,,,,,,,,,,,,,,,,
